dataset,n,d,objective,selected,selected_n_unique,identical_fraction,null_frequency_selected,median_n_unique_all,run,top_cardinality_fraction,bottom_cardinality_fraction
lung_cancer,32,56,cmi_hist10,2|5|11,4|3|4,0.005,0.630|0.160|0.450,3.0,,,
lung_cancer,32,56,cmi_cr_hist10,25|30|31,3|3|3,0.09,0.105|0.675|0.675,3.0,,,
lung_cancer,32,56,cmi_cr_quantile,40|41|51,3|3|3,0.0,0.540|0.305|0.135,3.0,,,
lung_cancer,32,56,hist10_plugin,2|5|55,4|3|2,0.0,0.135|0.170|0.050,3.0,,,
lung_cancer,32,56,quantile_plugin,19|39|52,3|3|3,0.0,0.075|0.050|0.080,3.0,,,
lung_cancer,32,56,quantile_expected,19|39|52,3|3|3,0.0,0.075|0.065|0.060,3.0,,,
breast_tissue,106,9,cmi_hist10,1|2|8,105|103|105,0.12,0.995|1.000|0.120,105.0,,,
breast_tissue,106,9,cmi_cr_hist10,0|7|8,95|105|105,0.91,1.000|0.910|1.000,105.0,,,
breast_tissue,106,9,cmi_cr_quantile,4|5|6,105|105|105,0.0,0.110|0.000|0.220,105.0,,,
breast_tissue,106,9,hist10_plugin,1|4|8,105|105|105,0.0,0.040|1.000|0.000,105.0,,,
breast_tissue,106,9,quantile_plugin,1|2|3,105|103|105,0.34,0.990|1.000|0.340,105.0,,,
breast_tissue,106,9,quantile_expected,1|2|3,105|103|105,0.105,0.595|0.855|0.180,105.0,,,
colon,62,100,cmi_hist10,11|17|21,3|3|3,0.0,0.020|0.035|0.025,3.0,,,
colon,62,100,cmi_cr_hist10,23|67|83,3|3|3,0.73,0.745|0.980|0.980,3.0,,,
colon,62,100,cmi_cr_quantile,23|67|83,3|3|3,0.73,0.745|0.980|0.980,3.0,,,
colon,62,100,hist10_plugin,21|71|94,3|3|3,0.0,0.010|0.195|0.025,3.0,,,
colon,62,100,quantile_plugin,21|71|94,3|3|3,0.0,0.010|0.195|0.025,3.0,,,
colon,62,100,quantile_expected,21|71|77,3|3|3,0.0,0.060|0.100|0.080,3.0,,,
colon,62,100,rank,17|21|94,3|3|3,0.0,0.150|0.070|0.080,3.0,,,
lymphoma,96,100,cmi_hist10,18|44|81,3|3|3,0.0,0.015|0.035|0.000,3.0,,,
lymphoma,96,100,cmi_cr_hist10,10|11|12,3|3|3,0.29,0.290|0.290|0.290,3.0,,,
lymphoma,96,100,cmi_cr_quantile,10|11|12,3|3|3,0.29,0.290|0.290|0.290,3.0,,,
lymphoma,96,100,hist10_plugin,21|34|94,3|3|3,0.0,0.020|0.150|0.005,3.0,,,
lymphoma,96,100,quantile_plugin,21|34|94,3|3|3,0.0,0.020|0.150|0.005,3.0,,,
lymphoma,96,100,quantile_expected,21|29|81,3|3|3,0.0,0.015|0.075|0.015,3.0,,,
hepatitis,155,19,cmi_hist10,0|16|17,49|29|45,0.19,0.955|0.325|0.870,2.0,full,,
hepatitis,31,19,cmi_hist10,,,0.1665,,2.0,subsample_x20,0.0,0.0
hepatitis,155,19,cmi_cr_hist10,0|14|17,49|83|45,0.575,0.990|1.000|0.585,2.0,full,,
hepatitis,31,19,cmi_cr_hist10,,,0.6649999999999999,,2.0,subsample_x20,0.1,0.0
hepatitis,155,19,cmi_cr_quantile,13|14|16,34|83|29,0.705,1.000|0.780|0.805,2.0,full,,
hepatitis,31,19,cmi_cr_quantile,,,0.6085,,2.0,subsample_x20,0.0,0.7
hepatitis,155,19,hist10_plugin,2|9|11,2|2|2,0.0,0.370|0.340|0.135,2.0,full,,
hepatitis,31,19,hist10_plugin,,,0.0345,,2.0,subsample_x20,0.0,0.9
hepatitis,155,19,quantile_plugin,1|10|17,2|2|45,0.0,0.625|0.125|0.190,2.0,full,,
hepatitis,31,19,quantile_plugin,,,0.006,,2.0,subsample_x20,0.0,0.35
hepatitis,155,19,quantile_expected,0|2|11,49|2|2,0.0,0.305|0.255|0.105,2.0,full,,
hepatitis,31,19,quantile_expected,,,0.004999999999999999,,2.0,subsample_x20,0.0,0.45
hepatitis,155,19,rank,0|5|16,49|2|29,0.0,0.335|0.110|0.035,2.0,full,,
hepatitis,31,19,rank,,,0.0045,,2.0,subsample_x20,0.0,0.05
statlog_heart,270,13,cmi_hist10,0|7|9,41|90|39,0.13,0.850|0.890|0.365,4.0,full,,
statlog_heart,31,13,cmi_hist10,,,0.34299999999999997,,4.0,subsample_x20,0.25,0.0
statlog_heart,270,13,cmi_cr_hist10,0|7|9,41|90|39,0.185,1.000|1.000|0.185,4.0,full,,
statlog_heart,31,13,cmi_cr_hist10,,,0.6,,4.0,subsample_x20,0.4,0.0
statlog_heart,270,13,cmi_cr_quantile,0|3|7,41|47|90,0.71,1.000|0.720|0.990,4.0,full,,
statlog_heart,31,13,cmi_cr_quantile,,,0.4164999999999999,,4.0,subsample_x20,0.0,0.0
statlog_heart,270,13,hist10_plugin,1|10|11,2|3|4,0.0,0.070|0.070|0.005,4.0,full,,
statlog_heart,31,13,hist10_plugin,,,0.25000000000000006,,4.0,subsample_x20,0.0,0.15
statlog_heart,270,13,quantile_plugin,6|11|12,3|4|3,0.0,0.905|0.005|0.330,4.0,full,,
statlog_heart,31,13,quantile_plugin,,,0.039999999999999994,,4.0,subsample_x20,0.0,0.0
statlog_heart,270,13,quantile_expected,6|11|12,3|4|3,0.005,0.405|0.190|0.160,4.0,full,,
statlog_heart,31,13,quantile_expected,,,0.011500000000000002,,4.0,subsample_x20,0.0,0.0
statlog_heart,270,13,rank,2|10|11,4|3|4,0.0,0.185|0.185|0.080,4.0,full,,
statlog_heart,31,13,rank,,,0.006500000000000001,,4.0,subsample_x20,0.0,0.0
synthetic_cohort_n31,31,14,cmi_hist10,1|2|6,31|31|6,0.25,0.900|0.435|0.915,2.0,full,,
synthetic_cohort_n31,31,14,cmi_cr_hist10,1|3|5,31|9|10,1.0,1.000|1.000|1.000,2.0,full,,
synthetic_cohort_n31,31,14,cmi_cr_quantile,3|5|12,9|10|2,0.615,1.000|1.000|0.615,2.0,full,,
synthetic_cohort_n31,31,14,hist10_plugin,0|7|10,2|2|2,0.105,0.355|0.380|0.725,2.0,full,,
synthetic_cohort_n31,31,14,quantile_plugin,1|3|8,31|9|2,0.02,0.160|0.145|0.420,2.0,full,,
synthetic_cohort_n31,31,14,quantile_expected,1|3|7,31|9|2,0.0,0.360|0.155|0.180,2.0,full,,
synthetic_cohort_n31,31,14,rank,1|3|8,31|9|2,0.015,0.210|0.185|0.260,2.0,full,,
