scenario,n,method,exact_recovery,jaccard,se
continuous/ordinal truth,31,mucke_hist10,0.0,0.08333333333333334,0.0
continuous/ordinal truth,31,mucke_mm_quantile4,0.016666666666666666,0.22166666666666662,0.01652719420071502
continuous/ordinal truth,31,mucke_permutation,0.03333333333333333,0.2783333333333333,0.023174059571793568
continuous/ordinal truth,31,mucke_expected,0.03333333333333333,0.2783333333333333,0.023174059571793568
continuous/ordinal truth,31,rank,0.2,0.52,0.051639777949432225
continuous/ordinal truth,31,anova_topk,0.06666666666666667,0.4216666666666667,0.03220305943597653
continuous/ordinal truth,31,mucke_ksg,0.03333333333333333,0.31999999999999995,0.023174059571793568
continuous/ordinal truth,60,mucke_hist10,0.0,0.10000000000000002,0.0
continuous/ordinal truth,60,mucke_mm_quantile4,0.1,0.4066666666666666,0.03872983346207417
continuous/ordinal truth,60,mucke_permutation,0.15,0.43166666666666664,0.046097722286464436
continuous/ordinal truth,60,mucke_expected,0.1,0.4066666666666666,0.03872983346207417
continuous/ordinal truth,60,rank,0.4166666666666667,0.6683333333333334,0.06364688465216445
continuous/ordinal truth,60,anova_topk,0.08333333333333333,0.5066666666666666,0.03568120160740314
continuous/ordinal truth,60,mucke_ksg,0.03333333333333333,0.325,0.023174059571793568
continuous/ordinal truth,100,mucke_hist10,0.0,0.13999999999999999,0.0
continuous/ordinal truth,100,mucke_mm_quantile4,0.06666666666666667,0.435,0.03220305943597653
continuous/ordinal truth,100,mucke_permutation,0.13333333333333333,0.475,0.043885372573625556
continuous/ordinal truth,100,mucke_expected,0.1,0.46166666666666667,0.03872983346207417
continuous/ordinal truth,100,rank,0.4666666666666667,0.6983333333333335,0.06440611887195306
continuous/ordinal truth,100,anova_topk,0.18333333333333332,0.5766666666666668,0.04995368225036439
continuous/ordinal truth,100,mucke_ksg,0.05,0.3466666666666667,0.028136571693556888
continuous/ordinal truth,200,mucke_hist10,0.0,0.17333333333333328,0.0
continuous/ordinal truth,200,mucke_mm_quantile4,0.3333333333333333,0.6316666666666667,0.06085806194501846
continuous/ordinal truth,200,mucke_permutation,0.35,0.65,0.06157651067303722
continuous/ordinal truth,200,mucke_expected,0.36666666666666664,0.6583333333333333,0.062212300796308524
continuous/ordinal truth,200,rank,0.8166666666666667,0.9083333333333333,0.04995368225036439
continuous/ordinal truth,200,anova_topk,0.35,0.675,0.06157651067303722
continuous/ordinal truth,200,mucke_ksg,0.16666666666666666,0.42666666666666664,0.048112522432468816
continuous/ordinal truth,300,mucke_hist10,0.0,0.17666666666666664,0.0
continuous/ordinal truth,300,mucke_mm_quantile4,0.48333333333333334,0.7366666666666667,0.06451385151296608
continuous/ordinal truth,300,mucke_permutation,0.48333333333333334,0.7366666666666667,0.06451385151296608
continuous/ordinal truth,300,mucke_expected,0.5,0.745,0.06454972243679027
continuous/ordinal truth,300,rank,0.8333333333333334,0.9166666666666666,0.04811252243246881
continuous/ordinal truth,300,anova_topk,0.38333333333333336,0.6916666666666667,0.06276794416591017
continuous/ordinal truth,300,mucke_ksg,0.16666666666666666,0.49333333333333335,0.048112522432468816
continuous/ordinal truth,500,mucke_hist10,0.0,0.1933333333333333,0.0
continuous/ordinal truth,500,mucke_mm_quantile4,0.5,0.74,0.06454972243679027
continuous/ordinal truth,500,mucke_permutation,0.5333333333333333,0.7566666666666666,0.06440611887195306
continuous/ordinal truth,500,mucke_expected,0.5,0.74,0.06454972243679027
continuous/ordinal truth,500,rank,0.8833333333333333,0.9416666666666667,0.04144384867012948
continuous/ordinal truth,500,anova_topk,0.4166666666666667,0.7083333333333334,0.06364688465216445
continuous/ordinal truth,500,mucke_ksg,0.3,0.5566666666666666,0.05916079783099616
one binary truth,31,mucke_hist10,0.0,0.16499999999999998,0.0
one binary truth,31,mucke_mm_quantile4,0.05,0.325,0.028136571693556888
one binary truth,31,mucke_permutation,0.05,0.3283333333333333,0.028136571693556888
one binary truth,31,mucke_expected,0.06666666666666667,0.35333333333333333,0.03220305943597653
one binary truth,31,rank,0.08333333333333333,0.44500000000000006,0.03568120160740314
one binary truth,31,anova_topk,0.15,0.49166666666666664,0.046097722286464436
one binary truth,31,mucke_ksg,0.08333333333333333,0.3416666666666667,0.03568120160740314
one binary truth,60,mucke_hist10,0.0,0.2716666666666666,0.0
one binary truth,60,mucke_mm_quantile4,0.13333333333333333,0.47333333333333333,0.043885372573625556
one binary truth,60,mucke_permutation,0.18333333333333332,0.5166666666666666,0.04995368225036439
one binary truth,60,mucke_expected,0.16666666666666666,0.5083333333333333,0.048112522432468816
one binary truth,60,rank,0.3,0.61,0.05916079783099616
one binary truth,60,anova_topk,0.43333333333333335,0.6716666666666669,0.06397337409104348
